Input,Output
"Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки этого сигнала светится стрелка необходимого цвета и направления на табло. Маршрут корректен. Охранное положение стрелок учтено (если они указаны в таблице зависимостей). Маршрут не имеет ложной занятости рельсовых цепей, и контроль положения стрелок не потерян. Белая полоса на табло проходит по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не удается открыть входной (выходной) или маневровый светофор. Когда нажимаешь кнопку данного сигнала, стрелка загорается на табло в нужном цвете и направлении. Установленный маршрут является правильным. Охранное положение стрелок учтено, если они присутствуют в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей, контроль положения стрелок сохранен. На маршруте белая полоса отображается на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый светофор не функционирует. При нажатии кнопки данного сигнала загорается стрелка нужного цвета и направления на табло. Маршрут установлен верно. Учет охранного положения стрелок (при наличии в таблице зависимостей) произведен. Ложная занятость рельсовых цепей в маршруте отсутствует, и контроль положения стрелок не потерян. Белая полоса проходит на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) либо маневровый светофор не открывается. При нажатии кнопки сигнала стрелка нужного цвета и направления появляется на табло. Маршрут установлен корректно. Учитывается охранное положение стрелок (если они имеются в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не нарушен. Белая полоса присутствует на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
Не удается открыть входной (выходной) или маневровый светофор. При нажатии кнопки сигнала на табло загорается стрелка нужного цвета и направления. Маршрут установлен правильно. Учитывается охранное положение стрелок (если они указаны в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей и отсутствует потеря контроля над положением стрелок. Белая полоса отображается на табло по маршруту.,"Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"На входном (выходном) или маневровом светофоре не происходит открытие. Стрелка соответствующего цвета и направления загорается на табло при нажатии на кнопку этого сигнала. Установленный маршрут является правильным. Охранное положение стрелок (при наличии в таблице зависимостей) учтено. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок сохраняется. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор остается закрытым. На табло загорается стрелка нужного цвета и направления, когда нажимается кнопка данного сигнала. Маршрут настроен правильно. Охранное положение стрелок (при наличии в таблице зависимостей) было учтено. В маршруте не наблюдается ложной занятости рельсовых цепей, и контроль положения стрелок не потерян. На маршруте белая полоса на табло проходит.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается ни входной, ни выходной, ни маневровый светофор. После нажатия на кнопку сигнала, стрелка нужного цвета и направления загорается на табло. Установленный маршрут является корректным. Охранное положение стрелок учтено (если они есть в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль над положением стрелок не нарушен. Белая полоса по маршруту проходит на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной, выходной или маневровый светофор не открывается. Когда нажимается кнопка сигнала, стрелка нужного цвета и направления светится на табло. Маршрут установлен верно. Охранное положение стрелок учтено для случаев, когда они имеются в таблице зависимостей. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок поддерживается. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Отказ открываться у входного (выходного) или маневрового светофора. На табло при нажатии кнопки данного сигнала загорается стрелка нужного цвета и направления. Маршрут установлен правильно. Учитывается охранное положение стрелок (если они присутствуют в таблице зависимостей). Ложной занятости рельсовых цепей в маршруте не наблюдается, и контроль над положением стрелок не теряется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не срабатывает. При нажатии кнопки сигнала стрелка нужного цвета и направления отображается на табло. Верно установлен маршрут. Учет охранного положения стрелок (при их наличии в таблице зависимостей) произведен. На маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок сохраняется. На табло по маршруту проходит белая полоса.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не открывается. При нажатии на кнопку данного сигнала на табло загорается стрелка нужного цвета и направления. Маршрут корректно установлен. Охранное положение стрелок, если они есть в таблице зависимостей, было учтено. В маршруте отсутствует ложная занятость рельсовых цепей, и управление положением стрелок не потеряно. Белая полоса проходит на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не функционирует. Стрелка нужного цвета и направления загорается на табло при нажатии на кнопку сигнала. Установленный маршрут является правильным. Охранное положение стрелок учтено (при наличии в таблице зависимостей). Нет ложной занятости рельсовых цепей, и контроль положения стрелок держится в норме. Белая полоса на табло проходит по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки сигнала на табло светится стрелка нужного цвета и направления. Маршрут установлен верно. Охранное положение стрелок учтено с учетом таблицы зависимостей. Ложной занятости рельсовых цепей в маршруте не наблюдается, и контроль положения стрелок сохраняется. По маршруту на табло проходит белая полоса.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"На входном (выходном) или маневровом светофоре не происходит открытие. При активации кнопки сигнала стрелка нужного цвета и направления отображается на табло. Маршрут установлен корректно. Охранное положение стрелок учтено (если они указаны в таблице зависимостей). В маршруте не наблюдается ложной занятости рельсовых цепей, и контроль положения стрелок поддерживается. На маршруте белая полоса проходит на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не удается открыть входной (выходной) или маневровый светофор. После нажатия кнопки сигнала стрелка необходимого цвета и направления появляется на табло. Установленный маршрут является правильным. Учитывается охранное положение стрелок, если они есть в таблице зависимостей. Нет ложной занятости рельсовых цепей, и контроль положения стрелок не теряется. Белая полоса отображается на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не открывается. При нажатии кнопки этого сигнала загорается стрелка нужного цвета и направления на табло. Маршрут установлен правильно. Охранное положение стрелок (если они имеются в таблице зависимостей) учтено. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положения стрелок поддерживается. Белая полоса по маршруту проходит на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или в маневровом режиме не функционирует. При нажатии кнопки данного сигнала стрелка загорается на табло в нужном цвете и направлении. Маршрут корректен. Учитывается охранное положение стрелок (если указаны в таблице зависимостей). В маршруте не наблюдается ложная занятость рельсовых цепей, и контроль над положением стрелок сохраняется. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. Стрелка нужного цвета и направления отображается на табло, когда нажимается кнопка сигнала. Все правильно установлено в маршруте. Охранное положение стрелок учтено, если они присутствуют в таблице зависимостей. В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не теряется. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе или выходе (или маневровый) не открывается. При нажатии кнопки этого сигнала стрелка нужного цвета и направления возникает на табло. Маршрут установлен правильно. Учтено охранное положение стрелок (если имеется в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, а также контроль положения стрелок не потерян. Белая полоса отображается на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается входной (выходной) или маневровый светофор. При активации кнопки данной сигнальной системы загорается стрелка соответствующего цвета и направления. Маршрут установлен корректно. Охранное положение стрелок учтено (если они имеются в таблице зависимостей). Нет ложной занятости рельсовых цепей в маршруте, и контроль над стрелками поддерживается. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый светофор остается закрытым. На табло, когда нажимается кнопка этого сигнала, появляется стрелка нужного цвета и направления. Установленный маршрут корректен. Учитывается охранное положение стрелок (при наличии в таблице зависимостей). Нет ложной занятости рельсовых цепей, и контроль положения стрелок сохраняется. Белая полоса проходит на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) либо маневровый светофор не открывается. При нажатии кнопки сигнала стрелка нужного цвета и направления светится на табло. Маршрут установлен верно. Охранное положение стрелок учтено для случаев, когда они имеются в таблице зависимостей. Нет ложной занятости рельсовых цепей, и контроль положения стрелок поддерживается. Белая полоса на бортовой панели по маршруту проходит.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) или маневровый светофор не функционирует. При нажатии кнопки данного сигнала стрелка нужного цвета и направления появляется на табло. Установленный маршрут корректен. Охранное положение стрелок учтено (при наличии в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль стрелок не потерян. Белая полоса проходит на табло по маршруту.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе, выходе или маневровый не открывается. На табло загорается стрелка нужного цвета и направления, когда нажимаешь на кнопку данного сигнала. Маршрут установлен правильно. Охранное положение стрелок (при наличии в таблице зависимостей) учтено. В маршруте отсутствует ложная занятость рельсовых цепей, и контроль над положением стрелок не нарушен. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Не открывается ни входной, ни выходной, ни маневровый светофор. После нажатия на кнопку этого сигнала, стрелка нужного цвета и направления загорается на табло. Маршрут установлен корректно. Учет охранного положения стрелок (если они есть в таблице зависимостей) был выполнен. В маршруте не наблюдается ложной занятости рельсовых цепей, и контроль положения стрелок поддерживается. На маршруте проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Входной (выходной) либо маневровый светофор не открывается. При нажатии кнопки сообщения стрелка нужного цвета и направления загорается на табло. Установлен правильный маршрут. Учитывается охранное положение стрелок (если они указаны в таблице зависимостей). В маршруте нет ложной занятости рельсовых цепей, и контроль положения стрелок не нарушен. По маршруту проходит белая полоса на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
"Светофор на входе (выходе) или маневровый не открывается. При нажатии кнопки данного сигнала стрелка нужного цвета и направления загорается на табло. Установленный маршрут является правильным. Учитывается охранное положение стрелок (при их наличии в таблице зависимостей). В маршруте отсутствует ложная занятость рельсовых цепей, и контроль положений стрелок остается незатронутым. Белая полоса проходит по маршруту на табло.","Не срабатывает схема сигнального реле. Используя принципиальные схемы найти место разрыва цепи сигнального реле. С целью локализации места разрыва полезно задать в пределах данного маршрута другие аналогичные маршруты (для поездного задается поездной, для маневрового маневровый."
